firm,man,mh,mms,q,firm.q
fpt,aa-iva,aa-iva,fpt,1,1
crd,unknown,unknown,crd,1,1
brune,aa-iva,aa-iva,brune,1,1
pirso,aa-iva,aa-iva,pirso,1,1
lloyd,aa-iva,unknown,lloyd,1,1
eagle,aa-nss,aa-nss,eagle,1,1
taiqi,taiqi electric vehicle co. limited,taiqi,taiqi electric vehicle co. limited,1,1
itineo,aa-iva,aa-iva,itineo,1,1
beumer,aa-iva,unknown,beumer,1,1
clubcar,aa-iva,aa-iva,clubcar,1,1
stockel,aa-iva,aa-iva,stockel,1,1
uap (r),aa-iva,unknown,uap (r),1,1
xenatec,aa-iva,unknown,xenatec,1,1
sanyang,sanyang,unknown,,1,1
uaz (su),aa-iva,aa-iva,uaz (su),1,1
aro (ro),aa-iva,unknown,aro (ro),1,1
michalak,michalak,unknown,michalak,1,1
burstner,unknown,unknown,burstner gmbh,1,1
deere (d),aa-iva,aa-iva,deere (d),1,1
dong feng,aa-iva,aa-iva,dong feng,1,1
elnagh(i),aa-iva,aa-iva,elnagh(i),1,1
haidlmair,aa-iva,aa-iva,haidlmair,1,1
hoeckmayr,aa-iva,aa-iva,hoeckmayr,1,1
lancia(i),aa-iva,aa-iva,lancia(i),1,1
mcc smart,aa-iva,unknown,mcc smart,1,1
perard (f),aa-iva,aa-iva,perard (f),1,1
jikov (cz),aa-iva,unknown,jikov (cz),1,1
moosburner,aa-iva,unknown,moosburner,1,1
italdesign,italdesign giugiaro spa,italdesign,italdesign-giugiaro (i),1,1
al-ko kober,aa-iva,aa-iva,al-ko kober,1,1
buick (usa),aa-iva,unknown,buick (usa),1,1
dodgecharger,aa-iva,aa-iva,dodgecharger,1,1
dodgejourney,aa-iva,aa-iva,dodgejourney,1,1
geel-boy(rc),aa-iva,aa-iva,geel-boy(rc),1,1
maruti udyog,maruti suzuki india ltd,maruti suzuki,maruti udyog,1,1
german e cars,aa-iva,aa-iva,german e cars gmbh,1,1
other italian,aa-iva,aa-iva,other italian,1,1
binz  & co kg,daimler ag stuttgart,out of scope,binz gmbh & co kg,1,1
jlr ltd    uk,jaguar land rover limited,jaguar land rover limited,jlr ltd    uk,1,1
dodgediv.(usa),aa-iva,aa-iva,dodgediv.(usa),1,1
nanoproduction,aa-iva,aa-iva,nanoproduction,1,1
shuanghuan(rc),aa-iva,aa-iva,shuanghuan(rc),1,1
veicoli s.r.l.,aa-iva,aa-iva,veicoli s.r.l.,1,1
x-raid(trebur),aa-iva,aa-iva,x-raid(trebur),1,1
zetor zkl (cz),aa-iva,unknown,zetor zkl (cz),1,1
shanghai maple,shanghai maple automobile co ltd,shanghai maple,shanghai maple,1,1
stevens-ajs(gb),aa-iva,aa-iva,stevens-ajs(gb),1,1
stockmotorpflug,aa-iva,aa-iva,stockmotorpflug,1,1
dodge div.(usa),aa-iva,unknown,dodge div.(usa),1,1
bmb sp. z o. o.,automobiles citroen,automobiles citroen,bmb sp. z o. o.,1,1
chongqing lifan,chongqing lifan passenger vehicle co ltd,chongqing lifan,chongqing lifan passenger vehicle lf6,1,1
daf trucks n.v.,daf trucks n.v.,unknown,,1,1
sonst.kfz.herst.,aa-iva,aa-iva,sonst.kfz.herst.,1,1
elektro-stahlbau,aa-iva,out of scope,elektro-stahlbau,1,1
electric mobility,aa-iva,aa-iva,electric mobility,1,1
ningbogeneral(rc),aa-iva,aa-iva,ningbogeneral(rc),1,1
aeon motor taiwan,unknown,unknown,aeon motor taiwan,1,1
melex/motorissima,unknown,unknown,melex/motorissima,1,1
9fffahrzeugtechnik,aa-iva,aa-iva,9fffahrzeugtechnik,1,1
claeys-clayson (b),aa-iva,unknown,claeys-clayson (b),1,1
mitshubishi motors,mitsubishi motors corporation mmc,mitsubishi motors corporation,mitshubishi motors,1,1
laikacaravanss.p.a.,aa-iva,aa-iva,laikacaravanss.p.a.,1,1
sonst.kfzhersteller,aa-iva,aa-iva,sonst.kfzhersteller,1,1
zhejiang renli (rc),aa-iva,unknown,zhejiang renli (rc),1,1
am.mot.cor.-amc(cdn),aa-iva,aa-iva,am.mot.cor.-amc(cdn),1,1
harley-davidson(usa),aa-iva,aa-iva,harley-davidson(usa),1,1
shanghai jmstar (rc),aa-iva,aa-iva,shanghai jmstar (rc),1,1
am.mot.cor.-amc(usa),aa-iva,unknown,am.mot.cor.-amc(usa),1,1
shuanghuan  ceo at gl,shijiazhuang shuanghuan automobile company,shijiazhuang shuanghuan,shuanghuan  ceo at gl,1,1
othekktur framleidandi,unknown,unknown,othekktur framleidandi,1,1
moslerautomotiveltd(gb),aa-iva,aa-iva,moslerautomotiveltd(gb),1,1
alfa lancia spa 831ab020,fiat group automobiles spa,unknown,alfa lancia spa 831ab020,1,1
innocenti mini t  g 38 1,fiat group automobiles spa,unknown,innocenti mini t  g 38 1,1,1
alfa lancia spa 831abo24s,fiat group automobiles spa,unknown,alfa lancia spa 831abo24s,1,1
willys overland corporation,aa-iva,aa-iva,willys overland corporation,1,1
china first automotive group company,china first automotive group company,unknown,,1,1
fontana c.m. s85lv-zndme/fr1c           st,unknown,unknown,fontana c.m. s85lv-zndme/fr1c           st,1,1
0901,aa-iva,aa-iva,0901,2,2
holden,aa-iva,aa-iva,holden,2,2
miller,aa-iva,aa-iva,miller,1,2
gumpert,gumpert sportwagenmanufaktur gmbh,gumpert,gumpert,1,2
gumpert,gumpert sportwagenmanufaktur gmbh,unknown,gumpert,1,2
santana,santana motor sa,santana,,1,2
westfalia,aa-iva,aa-iva,westfalia,2,2
mobilvetta,aa-iva,aa-iva,mobilvetta,2,2
miller,aa-iva,aa-iva,miller(usa),1,2
austin (gb),aa-iva,unknown,austin (gb),2,2
santana,santana motor sa,unknown,santana (e),1,2
adria caravan (slo),aa-iva,aa-iva,adria caravan (slo),1,2
adria caravan (slo),aa-iva,unknown,adria caravan (slo),1,2
jianglinmotorscompany,aa-iva,aa-iva,jianglinmotorscompany,2,2
lancia appia iii serie,fiat group automobiles spa,unknown,lancia appia iii serie,2,2
zotye holding ng group,"zejiang zotye automobile manufacturing co., ltd",zotye holding ng group,"zejiang zotye automobile manufacturing co., ltd",1,2
zotye holding ng group,zotye holding ng group,zotye holding ng group,,1,2
fso syrena w kutnie s.a.,unknown,unknown,fso syrena w kutnie s.a.,2,2
gruau,daimler ag,daimler ag,gruau,3,3
quoros,aa-iva,aa-iva,quoros,2,3
melkus,aa-iva,unknown,melkus,3,3
lumeneo,aa-nss,aa-nss,lumeneo,3,3
jlr  uk,jaguar land rover limited,jaguar land rover limited,jlr  uk,3,3
piaggio,piaggio & c spa,piaggio,,2,3
piaggio,piaggio & c spa,piaggio,piaggio & c. spa,1,3
triumph,unknown,unknown,triumph,1,3
euramobil,aa-iva,aa-iva,euramobil,3,3
hohenester,aa-iva,aa-iva,hohenester,1,3
hohenester,aa-iva,unknown,hohenester,2,3
s.e.a.s.p.a,aa-iva,aa-iva,s.e.a.s.p.a,2,3
agria-werke,aa-iva,unknown,agria-werke,3,3
s.e.a.s.p.a,aa-iva,aa-iva,s.e.a.s.p.a.,1,3
ac automotive,aa-iva,unknown,ac automotive,3,3
diamond (usa),aa-iva,unknown,diamond (usa),3,3
tecno meccanica,tecno meccanica imola spa,tecno meccanica,tecno meccanica imola spa,3,3
triumph,aa-iva,aa-iva,triumph-engin.(gb),2,3
quoros,aa-iva,aa-iva,quorosautomotive(prc),1,3
shijiazhuang shuanghuan automobile company,shijiazhuang shuanghuan automobile company,out of scope,,3,3
ariel,aa-iva,aa-iva,ariel,4,4
andere,aa-iva,aa-iva,andere,3,4
andere,aa-nss,aa-nss,andere,1,4
spyker,spyker automobielen bv,spyker,spyker,2,4
spyker,spyker automobielen bv,spyker,spyker (nl),1,4
eura mobil,aa-iva,aa-iva,eura mobil,4,4
otech s.r.l.,unknown,unknown,otech s.r.l.,4,4
abt sportsline,aa-iva,unknown,abt sportsline,4,4
adria mobil (slo),aa-iva,aa-iva,adria mobil (slo),2,4
adria mobil (slo),aa-iva,unknown,adria mobil (slo),2,4
spyker,spyker automobielen bv,unknown,sonst.kfz.hersteller,1,4
artega,artega automobil gmbh e co kg,artega,artega,5,5
jlr uk,jaguar land rover limited,jaguar land rover limited,jlr uk,5,5
gp sas,unknown,unknown,gp sas,5,5
tyrkland,unknown,unknown,tyrkland,5,5
knaus tabbert,knaus tabbert gmbh,unknown,,5,5
"""frank-cars"" sp. z o.o.",aa-nss,aa-nss,"""frank-cars"" sp. z o.o.",5,5
rapido,aa-iva,aa-iva,rapido,3,7
infiniti,kia motors corporation,duplicate,infiniti,1,7
infiniti,nissan international sa,duplicate,infiniti,6,7
rapido,aa-iva,aa-iva,rapido-caravanes(f),4,7
commercial transport service,aa-iva,aa-iva,commercial transport service,2,7
commercial transport service,aa-nss,aa-nss,commercial transport service,5,7
donkevoort,donkevoort automobielen bv,donkevoort,donkervoort,1,8
donkevoort,donkevoort automobielen bv,donkevoort,donkervoort automobielen b.v.,4,8
donkevoort,donkevoort automobielen bv,donkevoort,donkervoort automobielen bv,3,8
sonst.hersteller,aa-iva,aa-iva,sonst.hersteller,8,8
noble,noble automotive ltd,noble,noble,7,9
noble,noble automotive ltd,noble,noble moy (gb),1,9
ginetta,aa-iva,aa-iva,ginetta,9,9
dongfeng,dongfeng motor corporation,dongfeng,,1,9
dongfeng,dongfeng motor corporation,dongfeng,dongfeng (rc),4,9
o.m.c.i.,unknown,unknown,o.m.c.i.,9,9
noble,aa-iva,aa-iva,noble automotive,1,9
shuanghuan   ceo/gl/00,shijiazhuang shuanghuan automobile company,shijiazhuang shuanghuan,shuanghuan   ceo/gl/00,9,9
dongfeng,dongfeng motor corporation,dongfeng motor corporation,,2,9
dongfeng,dongfeng motor corporation,unknown,sonst.kfz.hersteller,2,9
vokswagen(indien),aa-iva,aa-iva,vokswagen(indien),10,10
sonst.anh.hersteller,aa-iva,aa-iva,sonst.anh.hersteller,4,10
sonst.anh.hersteller,aa-iva,unknown,sonst.anh.hersteller,6,10
landwind,jiangling motor holding co ltd,jiangling motor,landwind,5,12
landwind,jiangling motors,jiangling motors,landwind,7,12
koenigsegg,koenigsegg automotive ab,koenigsegg,koenigsegg,4,12
koenigsegg,koenigsegg automotive ab,koenigsegg,koenigsegg (s),6,12
koenigsegg,koenigsegg automotive ab,koenigsegg,koenigsegg automotive ab,1,12
koenigsegg,koenigsegg automotive ab,koenigsegg ,koenigsegg,1,12
pagani,pagani automobili spa,pagani,pagani (i),5,13
pagani,pagani automobili spa,pagani,pagani automobili s.p.a.,2,13
pagani,pagani automobili spa,pagani,pagani automobili spa,2,13
pagani,pagani automobili spa,pagani,sonst.kfz.hersteller,1,13
pagani,pagani automobili spa,unknown,sonst.kfz.hersteller,1,13
pagani,unknown,unknown,pagani automobili s.p.a.,2,13
fawvwchina,aa-iva,aa-iva,fawvwchina,14,14
micro vett,micro-vett spa,micro vett,,10,14
micro vett,micro-vett spa,micro vett,micro-vett spa,2,14
micro vett,micro-vett srl,micro vett,,1,14
micro vett,micro-vett srl,micro vett,fiat auto s.p.a,1,14
melex sp. zo.o.,unknown,unknown,melex sp. zo.o.,14,14
vis - avto,aa-iva,aa-iva,vis - avto,15,15
carpol sp. z o.o.,automobiles citroen,automobiles citroen,carpol sp. z o.o.,4,16
carpol sp. z o.o.,automobiles peugeot,automobiles peugeot,carpol sp. z o.o.,12,16
man truck&bus,aa-iva,aa-iva,man truck&bus,19,19
jiangling (rc),jiangling motor holding co ltd,jiangling motor,jiangling (rc),8,20
jiangling (rc),jiangling motor holding co ltd,jiangling motors,jiangling (rc),6,20
jiangling (rc),jiangling motor holding co ltd,unknown,jiangling (rc),6,20
ruf,aa-iva,aa-iva,ruf,7,21
ruf,aa-iva,unknown,ruf,14,21
westfield,aa-iva,aa-iva,westfield,12,21
westfield,westfield sports cars,westfield,westfield,1,21
westfield,westfield sports cars,westfield,westfield (gb),2,21
westfield,aa-iva,aa-iva,westfield (gb),6,21
bee,bee bee automotive,bee,bee bee automotive,3,24
bee,bee bee automotive,bee bee,bee bee automotive,4,24
bee,aa-nss,aa-nss,bee bee automotive,17,24
dallara,fabbrica dallara srl,dallara,dallara (i),2,29
dallara,fabbrica dallara srl,dallara,fabbrica dallara srl,1,29
radical,radical motorsport ltd,radical motorsport,radical,8,29
radical,radical motosport ltd,radical motosport,radical,4,29
radical,radical motosport ltd,radical motosport,radical motorsport ltd,3,29
radical,radical motosport ltd,radical motosport,sonst.kfz.hersteller,2,29
radical,radical motorsport ltd,radical motorsport,radical motorsport ltd,4,29
dallara,unknown,unknown,fabbrica dallara srl,26,29
radical,radical motosport ltd,unknown,sonst.kfz.hersteller,1,29
radical,radical motorsport ltd,radical motorsport ltd,radical motorsport ltd,7,29
dotto,unknown,unknown,dotto,2,30
tazzari,tazzari gl spa,tazzari,,15,30
tazzari,tazzari gl spa,tazzari,tazzari,2,30
tazzari,tazzari gl spa,tazzari,tazzari g l spa,2,30
tazzari,tazzari gl spa,tazzari,tazzari gl spa,8,30
dotto,unknown,unknown,dotto srl,27,30
tazzari,tecno meccanica imola spa,tecno meccanica,tazzari (i),1,30
dotto,unknown,unknown,dotto ldp01,1,30
tazzari,tecno meccanica imola spa,tecno meccanica,tazzari gl spa,2,30
"mostva sp. z o.o. ul. krakowska 10, ciemno gnojna 96-320 mszczonã³w poland",aa-nss,aa-nss,"mostva sp. z o.o. ul. krakowska 10, ciemno gnojna 96-320 mszczonã³w poland",30,30
mpm motors,aa-nss,aa-nss,mpm motors,31,31
man,aa-iva,aa-iva,man,2,32
man,man truck & bus ag,man,man truck & bus ag,5,32
man,man truck & bus ag,man,man truck&bus,5,32
man,man truck & bus ag,man,v-van,1,32
man,man truck & bus ag,man,v-van grabowski jan grabowski,19,32
brabus,aa-iva,aa-iva,brabus,11,33
brabus,brabus,brabus,,1,33
brabus,brabus,unknown,brabus,20,33
brabus,daimler ag,daimler ag,brabus gmbh,1,33
sonst.kfz-herst.,aa-iva,aa-iva,sonst.kfz-herst.,3,33
sonst.kfz-herst.,aa-iva,aa-iva,sonst.kfz-herst.(mitwmi),30,33
dfsk,dfsk motor co ltd,dfsk,dfsk,1,34
dfsk,dfsk motor co ltd,dfsk,dfsk motor (rc),29,34
dfsk,dfsk motor co ltd,dfsk,dfsk motor co ltd,1,34
dfsk,dfsk motor co ltd,dfsk,dongfeng (rc),3,34
jiangling motor,jiangling motor holding co ltd,jiangling motor,jiangling motor holding co. ltd.,13,45
jiangling motor,"jiangling motor holding co., ltd.",jiangling motors,jiangling motor holding co. ltd.,26,45
jiangling motor,aa-iva,aa-iva,jiangling motor holding co. ltd.,6,45
omci,omci srl,omci,o m c i    martin motors lf5 520 lf7130f,1,47
omci,omci srl,omci,o m c i    martin motors lf5 520 lf7160,2,47
omci,omci srl,omci,o m c i   martin motors lf5 520i lf7131f,2,47
omci,omci srl,omci,o.m.c.i.,16,47
omci,omci srl,out of scope,,1,47
omci,omci srl,out of scope,o.m.c.i.,16,47
omci,omci srl,unknown,o.m.c.i.,9,47
faw-volkswg.(rc),aa-iva,aa-iva,faw-volkswg.(rc),49,49
donkervoort,aa-nss,aa-nss,donkervoort,1,50
donkervoort,donkervoort automobielen bv,donkervoort,,1,50
donkervoort,donkervoort automobielen bv,donkervoort,donkervoort,3,50
donkervoort,donkervoort automobielen bv,donkervoort,donkervoort automobielen bv,8,50
donkervoort,donkervoort automobielen bv,donkervoort,joop donkervoort (nl),20,50
donkervoort,unknown,unknown,joop donkervoort (nl),1,50
donkervoort,aa-iva,aa-iva,donkervoort automobielen bv,16,50
qoros,qoros automotive co ltd,qoros,,12,51
qoros,qoros automotive co ltd,qoros,"qoros automotive co., ltd.",39,51
anhui,anhui jianghuai automobile,anhui,anhui jianghuai automobile,2,54
anhui,anhui jianghuai automobile,anhui,anhui jianghuai automobile co.ltd.,51,54
anhui,unknown,unknown,anhui jianghuai automobile co.ltd.,1,54
levc,london ev company,levc,london ev company,22,56
levc,london ev company,levc,london ev company (gb),34,56
demag,opel automobile gmbh,opel automobile,demag,62,62
vepb,vehicules electriques pininfarina-bollore sas,vepb,vehicules electriques pininfarina-bollore s.a.s.,72,72
pgo,aa-nss,aa-nss,pgo,2,74
pgo,pgo automobiles,pgo,pgo,12,74
pgo,pgo automobiles,pgo,pgo automobiles,55,74
pgo,pgo automobiles,pgo,pgo automobiles (f),5,74
litex motors,litex motors ad,litex motors,litex motors ad,1,76
litex motors,litex motors ad,litex motors,litex motors ad/great wall motor co.ltd.,75,76
borgward,beijing borgward automotive co ltd,borgward,beijing borgward (rc),42,78
borgward,aa-iva,aa-iva,beijing borgward (rc),36,78
iveco,aa-iva,aa-iva,iveco,2,86
iveco,automobili lamborghini spa,lamborghini,iveco,1,86
iveco,iveco spa,iveco,,7,86
iveco,iveco spa,iveco,iveco,1,86
iveco,iveco spa,iveco,iveco (i),3,86
iveco,iveco spa,out of scope,iveco,1,86
iveco,iveco spa,out of scope,,61,86
iveco,iveco spa,out of scope,iveco (i),1,86
iveco,iveco spa,unknown,iveco (i),1,86
iveco,iveco spa,unknown,iveco fiat (i),1,86
iveco,aa-iva,aa-iva,ivecos.p.a.,1,86
iveco,aa-iva,aa-iva,iveco s.p.a.,2,86
iveco,fiat group automobiles spa,unknown,iveco es3 1l3a a15mbn1,2,86
iveco,fiat group automobiles spa,unknown,iveco es3 1l3a b15man1,1,86
iveco,fiat group automobiles spa,unknown,iveco es3 1m3a b15man1,1,86
bugatti,bugatti automobiles sas,bugatti,bugatti,19,93
bugatti,bugatti automobiles sas,bugatti,bugatti (f),57,93
bugatti,bugatti automobiles sas,bugatti,bugatti automobiles s.a.s.,2,93
bugatti,bugatti automobiles sas,bugatti,bugatti automobiles sas,7,93
bugatti,aa-iva,aa-iva,bugatti (f),3,93
bugatti,bugatti automobiles sas,unknown,bugatti (f),1,93
bugatti,aa-iva,aa-iva,bugatti automobiles s.a.s.,4,93
isuzu,aa-iva,aa-iva,isuzu,1,98
isuzu,alpina burkard bovensiepen gmbh e co kg,alpina,isuzu,1,98
isuzu,isuzu motors limited,isuzu,aa_iva,2,98
isuzu,isuzu motors limited,isuzu,isuzu motors ltd/midi europe srl,62,98
isuzu,isuzu motors ltd,isuzu,,9,98
isuzu,isuzu motors ltd,isuzu,isuzu,7,98
isuzu,isuzu motors ltd,isuzu,isuzu (j),2,98
isuzu,isuzu motors ltd,isuzu,isuzu motors ltd,1,98
isuzu,isuzu motors ltd,isuzu,isuzu motors ltd/midi europe srl,3,98
isuzu,isuzu motors limited,unknown,isuzu (j),1,98
isuzu,aa-iva,unknown,subaru-isuzu (usa),1,98
isuzu,isuzu motors limited,unknown,,1,98
isuzu,isuzu motors limited,unknown,isuzu motors limited,1,98
isuzu,unknown,unknown,isuzu motors ltd/midi europe srl,6,98
other british,aa-iva,aa-iva,other british,54,100
other british,aa-nss,aa-nss,other british,3,100
other british,unknown,out of scope,other british,2,100
other british,unknown,unknown,other british,41,100
shanghaivolksw.(rc),aa-iva,aa-iva,shanghaivolksw.(rc),108,108
cadillac,aa-iva,aa-iva,cadillac,14,119
cadillac,general motors company,general motors company,cadillac,67,119
cadillac,general motors holdings llc,general motors holdings,cadillac,28,119
cadillac,aa-iva,aa-iva,cadillac (usa),1,119
cadillac,aa-iva,unknown,cadillac (usa),9,119
byd,byd auto industry company limited,byd,byd,77,122
byd,byd auto industry company limited,byd,byd auto industry co ltd,2,122
byd,byd auto industry company limited,byd,"byd auto industry co., ltd",4,122
byd,byd auto industry company limited,byd,byd auto industry company limited,3,122
byd,byd auto industry company limited,byd,sonst.kfz.hersteller,4,122
byd,unknown,unknown,byd auto co ltd,15,122
byd,aa-iva,aa-iva,byd auto industry company limited,12,122
byd,unknown,unknown,byd auto industry company limited,5,122
iav,aa-iva,aa-iva,iav gmbh,11,146
iav,aa-iva,aa-iva,iav cars gmbh,135,146
adidor,aa-iva,aa-iva,adidor,5,163
adidor,adidor voitures sas,adidor,adidor,31,163
adidor,adidor voitures sas,adidor,adidor voitures,126,163
adidor,adidor voitures sas,adidor,adidor voitures sas,1,163
think,aa-iva,aa-iva,think,8,165
think,think,think global,,21,165
think,think,think global,think,10,165
think,think,think global,think global,2,165
think,think,think global,think global as,18,165
think,think,think global,think technology as,1,165
think,think global,out of scope,think,2,165
think,think global,out of scope,sonst.kfz.hersteller,6,165
think,think global,out of scope,think global as,7,165
think,think global,unknown,sonst.kfz.hersteller,1,165
think,think global,unknown,think global,79,165
think,aa-iva,aa-iva,think global as,10,165
wiesmann,wiesmann gmbh,unknown,wiesmann,73,172
wiesmann,wiesmann gmbh,wiesmann,wiesmann,96,172
wiesmann,wiesmann gmbh,wiesmann,wiesmann gmbh,2,172
wiesmann,wiesmann gmbh,wiesmann,wiesmann gmbh & co.kg,1,172
vauxhall,aa-iva,aa-iva,vauxhall,158,235
vauxhall,aa-nss,aa-nss,vauxhall,71,235
vauxhall,adam opel ag,unknown,vauxhall,5,235
vauxhall,adam opel gmbh,duplicate,vauxhall,1,235
proton,aa-iva,aa-iva,proton,18,240
proton,perusahaan otomobil nasional sdn bhd,proton,,1,240
proton,perusahaan otomobil nasional sdn bhd,proton,proton,220,240
proton,perusahaan otomobil nasional sdn bhd,unknown,proton (mal),1,240
ktm,aa-iva,aa-iva,ktm,1,249
ktm,aa-nss,aa-nss,ktm,20,249
ktm,ktm-sportmotorcycle ag,ktm,,1,249
ktm,ktm-sportmotorcycle ag,ktm,ktm,1,249
ktm,ktm-sportmotorcycle ag,ktm,ktm-sportcar (a),12,249
ktm,ktm-sportmotorcycle ag,ktm,ktm-sportcar produktions gmbh,2,249
ktm,ktm-sportmotorcycle ag,ktm,ktm (a),45,249
ktm,ktm-sportmotorcycle ag,ktm,ktm sportcar (a),51,249
ktm,ktm-sportmotorcycle ag,ktm,ktm sportcar gmbh,61,249
ktm,ktm-sportmotorcycle ag,ktm,ktm sportcar produktions,7,249
ktm,ktm-sportmotorcycle ag,ktm,ktm sportmotorcycle ag,37,249
ktm,ktm-sportmotorcycle ag,ktm,x-bow,4,249
ktm,aa-iva,aa-iva,ktm (a),1,249
ktm,aa-iva,aa-iva,ktm sportcar gmbh,2,249
ktm,aa-iva,aa-iva,ktm sportmotorcycle ag,4,249
secma,aa-iva,aa-iva,secma,1,292
secma,aa-nss,aa-nss,secma,1,292
secma,secma,secma,secma,6,292
secma,secma,secma,secma sas,34,292
secma,secma sas,secma,secma,10,292
secma,secma sas,secma,secma (f),15,292
secma,secma sas,secma,secma sas,218,292
secma,secma sas,secma,sonst.kfz.hersteller,4,292
secma,secma sas,unknown,sonst.kfz.hersteller,2,292
secma,aa-iva,aa-iva,secma s.a.s.,1,292
fisker,aa-iva,aa-iva,fisker,4,296
fisker,fisker,fisker,,2,296
fisker,fisker automotive,fisker,fisker,54,296
fisker,fisker automotive inc,fisker,fisker,25,296
fisker,fisker automotive inc,fisker,fisker (usa),84,296
fisker,fisker automotive inc,fisker,fisker automotive inc,40,296
fisker,fisker automotive inc,fisker,fisker automotive inc.,53,296
fisker,fisker automotive inc,fisker,"fisker automotive, inc.",1,296
fisker,fisker automotive inc,out of scope,fisker,1,296
fisker,fisker automotive inc.,fisker,fisker automotive inc.,24,296
fisker,fisker automotive inc,out of scope,fisker automotive inc,1,296
fisker,aa-iva,aa-iva,fisker automotive inc.,1,296
fisker,unknown,unknown,fisker automotive inc.,6,296
nevs,national electric vehicle sweden,nevs,national electric vehicle sweden,336,338
nevs,national electric vehicle sweden,nevs,saab,1,338
nevs,national electric vehicle sweden,nevs,saab automobile (s),1,338
vehicules electriques pininfarina-bollore s.a.s.,vehicules electriques pininfarina-bollore s.a.s.,vehicules electriques pininfarina-bollore s.a.s.,vehicules electriques pininfarina-bollore s.a.s.,542,542
perodua,perodua manufacturing sdn bhd,perodua,,1,596
perodua,perodua manufacturing sdn bhd,perodua,n/a,23,596
perodua,perodua manufacturing sdn bhd,perodua,perodua,571,596
perodua,perodua uk limited,perodua,perodua,1,596
mia,mia,mia,,1,802
mia,mia electric sas,mia,,21,802
mia,mia electric sas,mia,mia,30,802
mia,mia electric sas,mia,mia electric,595,802
mia,mia electric sas,mia,mia electric (f),99,802
mia,mia electric sas,mia,mia electric s.a.s.,7,802
mia,mia electric sas,mia,mia electric sas,20,802
mia,mia electric sas,unknown,mia electric (f),28,802
mia,unknown,unknown,mia electric s.a.s.,1,802
caterham,aa-iva,aa-iva,caterham,48,844
caterham,aa-nss,aa-nss,caterham,8,844
caterham,caterham,caterham,,1,844
caterham,caterham,caterham,caterham,1,844
caterham,caterham cars limited,caterham,,4,844
caterham,caterham cars limited,caterham,caterham,77,844
caterham,caterham cars limited,caterham,caterham (gb),95,844
caterham,caterham cars limited,caterham,caterham cars,15,844
caterham,caterham cars limited,caterham,caterham cars limited,3,844
caterham,caterham cars limited,caterham,caterham cars ltd,567,844
caterham,caterham cars limited,caterham,caterham cars ltd.,15,844
caterham,caterham cars limited,caterham,sonst.kfz.hersteller,3,844
caterham,aa-nss,aa-nss,caterham cars,2,844
caterham,aa-iva,aa-iva,caterham cars ltd,1,844
caterham,aa-iva,aa-iva,caterham cars ltd.,2,844
caterham,caterham cars limited,unknown,sonst.kfz.hersteller,2,844
great wall,aa-iva,aa-iva,great wall,2,1477
great wall,aa-iva,aa-iva,great wall (rc),3,1477
great wall,great wall motor company limited,great wall motor,great wall (rc),46,1477
great wall,aa-iva,aa-iva,great wall motor,2,1477
great wall,great wall motor company limited,great wall motor,,523,1477
great wall,great wall motor company limited,great wall motor,great wall motor /m.t.m. k5cc6461ky-p/gpl,4,1477
great wall,great wall motor company limited,great wall motor,great wall motor company limited,701,1477
great wall,great wall motor company limited,great wall motor,great wall motor company ltd/m.t.m. srl,196,1477
saab,aa-iva,aa-iva,saab,1,1502
saab,saab,saab,,27,1502
saab,saab automobile ab,out of scope,saab,22,1502
saab,saab automobile ab,saab,,54,1502
saab,saab automobile ab,saab,saab,357,1502
saab,saab automobile ab,saab,saab automobile,33,1502
saab,saab automobile ab,saab,saab automobile (s),57,1502
saab,saab automobile ab,saab,saab automobile ab,773,1502
saab,saab automobile ab,saab,saab ys3f?4?? f4b m504,1,1502
saab,saab automobile ab,unknown,saab,3,1502
saab,aa-iva,aa-iva,saab automobile ab,94,1502
saab,saab automobile ab,out of scope,,1,1502
saab,saab automobile ab,out of scope,n/a,2,1502
saab,saab automobile ab,out of scope,saab automobile (s),4,1502
saab,saab automobile ab,out of scope,saab automobile ab,59,1502
saab,saab automobile ab,unknown,,6,1502
saab,saab automobile ab,unknown,saab automobile (s),4,1502
saab,saab automobile ab,unknown,saab automobile ab,2,1502
saab,unknown,unknown,saab automatic ab s-461 80 trollhaettan sweden,1,1502
saab,unknown,unknown,saab automobile ab s-461 80 trollhaettan sweden,1,1502
cecomp,cecomp s.p.a.,cecomp,cecomp s.p.a,1567,1567
alpine,renault sas,renault,alpine,142,1686
alpine,societe des automobiles alpine,alpine,alpine,72,1686
alpine,societe des automobiles alpine,alpine,alpine (f),220,1686
alpine,societe des automobiles alpine,alpine,societe des automobiles alpine,1175,1686
alpine,societe des automobiles alpine,alpine,societe des automobiles alpine ( saa ),45,1686
alpine,societe des automobiles alpine,alpine,societe des automobiles alpine (saa),5,1686
alpine,societe des automobiles alpine,alpine,socit des automobiles alpine (saa),23,1686
alpine,societe des automobiles alpine,duplicate,alpine (f),1,1686
alpine,societe des automobiles alpine,duplicate,societe des automobiles alpine,2,1686
alpine,societe des automobiles alpine,duplicate,societe des automobiles alpine ( saa ),1,1686
tata,tata motors limited,tata,,331,2204
tata,tata motors limited,tata,tata,41,2204
tata,tata motors limited,tata,tata 61 af01 l02-e,3,2204
tata,tata motors limited,tata,tata 61 af03 l01-e,3,2204
tata,tata motors limited,tata,tata eng (ind),27,2204
